	shopname	rate_text	user	rate_star
0	COMEBUY甘杯(海八店)	哈哈哈哈哈哈哈哈哈哈哈哈哈	a***央	5
1	COMEBUY甘杯(海八店)	"好喝
"	A**********p	5
2	COMEBUY甘杯(海八店)	棒	9*********b	5
3	COMEBUY甘杯(海八店)	👌	月**********x	5
4	COMEBUY甘杯(海八店)	好	b*********0	5
5	COMEBUY甘杯(海八店)	还不错	3*********2	4
6	COMEBUY甘杯(海八店)	哈哈哈哈哈哈哈哈哈哈哈哈哈	a***央	5
7	COMEBUY甘杯(海八店)	"好喝
"	A**********p	5
8	COMEBUY甘杯(海八店)	棒	9*********b	5
9	COMEBUY甘杯(海八店)	👌	月**********x	5
10	COMEBUY甘杯(海八店)	好	b*********0	5
11	COMEBUY甘杯(海八店)	还不错	3*********2	4
12	COMEBUY甘杯(海八店)	哈哈哈哈哈哈哈哈哈哈哈哈哈	a***央	5
13	COMEBUY甘杯(海八店)	"好喝
"	A**********p	5
14	COMEBUY甘杯(海八店)	棒	9*********b	5
15	COMEBUY甘杯(海八店)	👌	月**********x	5
16	COMEBUY甘杯(海八店)	好	b*********0	5
17	COMEBUY甘杯(海八店)	还不错	3*********2	4
18	COMEBUY甘杯(海八店)	"好喝
"	A**********p	5
19	COMEBUY甘杯(海八店)	棒	9*********b	5
20	COMEBUY甘杯(海八店)	👌	月**********x	5
21	COMEBUY甘杯(海八店)	好	b*********0	5
22	COMEBUY甘杯(海八店)	还不错	3*********2	4
23	COMEBUY甘杯(海八店)	虫子。还让我怎么喝？？？？？？？？？？？？？？？？？？？？？？？？？生气！！！😠😠😠😠！！！	匿**户	1
24	COMEBUY甘杯(海八店)	"好喝
"	A**********p	5
25	COMEBUY甘杯(海八店)	棒	9*********b	5
26	COMEBUY甘杯(海八店)	👌	月**********x	5
27	COMEBUY甘杯(海八店)	好	b*********0	5
28	COMEBUY甘杯(海八店)	还不错	3*********2	4
29	COMEBUY甘杯(海八店)	虫子。还让我怎么喝？？？？？？？？？？？？？？？？？？？？？？？？？生气！！！😠😠😠😠！！！	匿**户	1
30	COMEBUY甘杯(海八店)	不不饿招牌奶茶-L	3*******9	4
31	COMEBUY甘杯(海八店)	"好喝
"	A**********p	5
32	COMEBUY甘杯(海八店)	棒	9*********b	5
33	COMEBUY甘杯(海八店)	👌	月**********x	5
34	COMEBUY甘杯(海八店)	好	b*********0	5
35	COMEBUY甘杯(海八店)	还不错	3*********2	4
36	COMEBUY甘杯(海八店)	虫子。还让我怎么喝？？？？？？？？？？？？？？？？？？？？？？？？？生气！！！😠😠😠😠！！！	匿**户	1
37	COMEBUY甘杯(海八店)	不不饿招牌奶茶-L	3*******9	4
38	COMEBUY甘杯(海八店)	"好喝
"	A**********p	5
39	COMEBUY甘杯(海八店)	棒	9*********b	5
40	COMEBUY甘杯(海八店)	👌	月**********x	5
41	COMEBUY甘杯(海八店)	好	b*********0	5
42	COMEBUY甘杯(海八店)	还不错	3*********2	4
43	COMEBUY甘杯(海八店)	虫子。还让我怎么喝？？？？？？？？？？？？？？？？？？？？？？？？？生气！！！😠😠😠😠！！！	匿**户	1
44	COMEBUY甘杯(海八店)	不不饿招牌奶茶-L	3*******9	4
45	COMEBUY甘杯(海八店)	"好喝
"	A**********p	5
46	COMEBUY甘杯(海八店)	棒	9*********b	5
47	COMEBUY甘杯(海八店)	👌	月**********x	5
48	COMEBUY甘杯(海八店)	好	b*********0	5
49	COMEBUY甘杯(海八店)	还不错	3*********2	4
50	COMEBUY甘杯(海八店)	虫子。还让我怎么喝？？？？？？？？？？？？？？？？？？？？？？？？？生气！！！😠😠😠😠！！！	匿**户	1
51	COMEBUY甘杯(海八店)	不不饿招牌奶茶-L	3*******9	4
52	COMEBUY甘杯(海八店)	"好喝
"	A**********p	5
53	COMEBUY甘杯(海八店)	棒	9*********b	5
54	COMEBUY甘杯(海八店)	👌	月**********x	5
55	COMEBUY甘杯(海八店)	好	b*********0	5
56	COMEBUY甘杯(海八店)	还不错	3*********2	4
57	Hi汉堡炸鸡(金鼎店)	就是不配手套	b*********8	4
58	Hi汉堡炸鸡(金鼎店)	店家也太老实了吧，我真没想多要的，今天少叫只是因为下午有吃东西吃不下太多，只是嘴馋，而且最近胖太多了，肚子都跑出来了，得少吃点。。。不得不说老板做生意实在是太够意思，附近真没看过这么实在的店。。。	偶***评	5
59	Hi汉堡炸鸡(金鼎店)	刚好五个字	黄******o	5
60	Hi汉堡炸鸡(金鼎店)	味道不错，点赞	匿**户	5
61	Hi汉堡炸鸡(金鼎店)	经常来的。	3*******0	5
62	Hi汉堡炸鸡(金鼎店)	挺好的自选单人套餐可乐系列-大薯（容易变软，介意慎拍）	3*******1	5
63	Hi汉堡炸鸡(金鼎店)	挺好的自选单人套餐可乐系列-香辣鸡翅	3*******1	5
64	Hi汉堡炸鸡(金鼎店)	太假了，很差	匿**户	1
65	Hi汉堡炸鸡(金鼎店)	一直很好吃	3*******4	5
66	Hi汉堡炸鸡(金鼎店)	刚好五个字	黄******o	5
67	Hi汉堡炸鸡(金鼎店)	自从吃了你家汉堡，我越变越帅，附上吃之前和之后照片	匿**户	5
68	Hi汉堡炸鸡(金鼎店)	点了好几次了，非常满意，可乐和冰块分开装的，超赞，油感觉也很不错，炸出来的鸡翅都是金黄色的，快递也很快，满分	3*******e	5
69	Hi汉堡炸鸡(金鼎店)	味道不错，送餐也挺快的，汉堡很好吃噢，下次继续点哈哈	3*******9	5
70	Hi汉堡炸鸡(金鼎店)	就是不配手套	b*********8	4
71	Hi汉堡炸鸡(金鼎店)	店家也太老实了吧，我真没想多要的，今天少叫只是因为下午有吃东西吃不下太多，只是嘴馋，而且最近胖太多了，肚子都跑出来了，得少吃点。。。不得不说老板做生意实在是太够意思，附近真没看过这么实在的店。。。	偶***评	5
72	Hi汉堡炸鸡(金鼎店)	刚好五个字	黄******o	5
73	Hi汉堡炸鸡(金鼎店)	味道不错，点赞	匿**户	5
74	Hi汉堡炸鸡(金鼎店)	经常来的。	3*******0	5
75	Hi汉堡炸鸡(金鼎店)	挺好的自选单人套餐可乐系列-大薯（容易变软，介意慎拍）	3*******1	5
76	Hi汉堡炸鸡(金鼎店)	挺好的自选单人套餐可乐系列-香辣鸡翅	3*******1	5
77	Hi汉堡炸鸡(金鼎店)	太假了，很差	匿**户	1
78	Hi汉堡炸鸡(金鼎店)	一直很好吃	3*******4	5
79	Hi汉堡炸鸡(金鼎店)	刚好五个字	黄******o	5
80	Hi汉堡炸鸡(金鼎店)	自从吃了你家汉堡，我越变越帅，附上吃之前和之后照片	匿**户	5
81	Hi汉堡炸鸡(金鼎店)	点了好几次了，非常满意，可乐和冰块分开装的，超赞，油感觉也很不错，炸出来的鸡翅都是金黄色的，快递也很快，满分	3*******e	5
82	Hi汉堡炸鸡(金鼎店)	味道不错，送餐也挺快的，汉堡很好吃噢，下次继续点哈哈	3*******9	5
83	Hi汉堡炸鸡(金鼎店)	店家也太老实了吧，我真没想多要的，今天少叫只是因为下午有吃东西吃不下太多，只是嘴馋，而且最近胖太多了，肚子都跑出来了，得少吃点。。。不得不说老板做生意实在是太够意思，附近真没看过这么实在的店。。。	偶***评	5
84	Hi汉堡炸鸡(金鼎店)	刚好五个字	黄******o	5
85	Hi汉堡炸鸡(金鼎店)	味道不错，点赞	匿**户	5
86	Hi汉堡炸鸡(金鼎店)	经常来的。	3*******0	5
87	Hi汉堡炸鸡(金鼎店)	挺好的自选单人套餐可乐系列-大薯（容易变软，介意慎拍）	3*******1	5
88	Hi汉堡炸鸡(金鼎店)	挺好的自选单人套餐可乐系列-香辣鸡翅	3*******1	5
89	Hi汉堡炸鸡(金鼎店)	太假了，很差	匿**户	1
90	Hi汉堡炸鸡(金鼎店)	一直很好吃	3*******4	5
91	Hi汉堡炸鸡(金鼎店)	刚好五个字	黄******o	5
92	Hi汉堡炸鸡(金鼎店)	自从吃了你家汉堡，我越变越帅，附上吃之前和之后照片	匿**户	5
93	Hi汉堡炸鸡(金鼎店)	点了好几次了，非常满意，可乐和冰块分开装的，超赞，油感觉也很不错，炸出来的鸡翅都是金黄色的，快递也很快，满分	3*******e	5
94	Hi汉堡炸鸡(金鼎店)	味道不错，送餐也挺快的，汉堡很好吃噢，下次继续点哈哈	3*******9	5
95	Hi汉堡炸鸡(金鼎店)	刚好五个字	黄******o	5
96	Hi汉堡炸鸡(金鼎店)	味道不错，点赞	匿**户	5
97	Hi汉堡炸鸡(金鼎店)	经常来的。	3*******0	5
98	Hi汉堡炸鸡(金鼎店)	挺好的自选单人套餐可乐系列-大薯（容易变软，介意慎拍）	3*******1	5
99	Hi汉堡炸鸡(金鼎店)	挺好的自选单人套餐可乐系列-香辣鸡翅	3*******1	5
100	Hi汉堡炸鸡(金鼎店)	太假了，很差	匿**户	1
101	Hi汉堡炸鸡(金鼎店)	一直很好吃	3*******4	5
102	Hi汉堡炸鸡(金鼎店)	刚好五个字	黄******o	5
103	Hi汉堡炸鸡(金鼎店)	自从吃了你家汉堡，我越变越帅，附上吃之前和之后照片	匿**户	5
104	Hi汉堡炸鸡(金鼎店)	点了好几次了，非常满意，可乐和冰块分开装的，超赞，油感觉也很不错，炸出来的鸡翅都是金黄色的，快递也很快，满分	3*******e	5
105	Hi汉堡炸鸡(金鼎店)	味道不错，送餐也挺快的，汉堡很好吃噢，下次继续点哈哈	3*******9	5
106	Hi汉堡炸鸡(金鼎店)	特别是鸡肉卷超好吃，比其他的好吃多了	黄******o	5
107	Hi汉堡炸鸡(金鼎店)	味道不错，点赞	匿**户	5
108	Hi汉堡炸鸡(金鼎店)	经常来的。	3*******0	5
109	INCHA印茶	无聊看到新店开张顺手买了一杯，还不错👍🏻	3*******5	5
110	royaltea皇茶	好喝好喝	3*******b	5
111	royaltea皇茶	太好喝了，料超多	3*******b	5
112	royaltea皇茶	味道超赞，草莓新鲜，芝士香浓，值得推荐	1**********a	5
113	royaltea皇茶	茶味清香，奶盖香浓，好喝，值得推荐	1**********a	5
114	royaltea皇茶	味道很赞，芝士香浓，值得推荐	1**********a	5
115	U Salad轻食	一如既往的好吃	1*********c	5
116	U Salad轻食	味道不错，就是感觉没有以前料足了	3*******7	5
117	U Salad轻食	挺好吃的	2*********c	5
118	U Salad轻食	一如既往滴	斑****6	5
119	U Salad轻食	吼啊	斑****6	5
120	U Salad轻食	好吃	斑****6	5
121	U Salad轻食	真的巨好吃！！每天都想点！！	山***沙	5
122	U Salad轻食	美式鸡胸肉沙拉-大份	7*********c	5
123	U Salad轻食	商家说提早叫，好我提早了，预计11:57送达，硬是到12:53才给我打电话，西蓝花给我四颗还是特别特别小的，饭都是凉的，学校一顿饭30多块钱吃这个体验，不应该检讨检讨？	匿**户	1
124	U Salad轻食	必须吐槽一下了……这个海草和玉米笋的量……少的惊人……海草就半筷子不到，22块…………天啦噜，不能仗着好吃这么扣吧，原料成本真不至于这么这么高	匿**户	2
125	U Salad轻食	越来越敷衍了	匿**户	3
126	U Salad轻食	味道不错，就是感觉没有以前料足了	3*******7	5
127	U Salad轻食	挺好吃的	2*********c	5
128	U Salad轻食	一如既往滴	斑****6	5
129	U Salad轻食	吼啊	斑****6	5
130	U Salad轻食	好吃	斑****6	5
131	U Salad轻食	真的巨好吃！！每天都想点！！	山***沙	5
132	U Salad轻食	美式鸡胸肉沙拉-大份	7*********c	5
133	U Salad轻食	商家说提早叫，好我提早了，预计11:57送达，硬是到12:53才给我打电话，西蓝花给我四颗还是特别特别小的，饭都是凉的，学校一顿饭30多块钱吃这个体验，不应该检讨检讨？	匿**户	1
134	U Salad轻食	必须吐槽一下了……这个海草和玉米笋的量……少的惊人……海草就半筷子不到，22块…………天啦噜，不能仗着好吃这么扣吧，原料成本真不至于这么这么高	匿**户	2
135	U Salad轻食	越来越敷衍了	匿**户	3
136	U Salad轻食	味道不错，就是感觉没有以前料足了	3*******7	5
137	U Salad轻食	挺好吃的	2*********c	5
138	U Salad轻食	一如既往滴	斑****6	5
139	U Salad轻食	吼啊	斑****6	5
140	U Salad轻食	好吃	斑****6	5
141	U Salad轻食	真的巨好吃！！每天都想点！！	山***沙	5
142	U Salad轻食	美式鸡胸肉沙拉-大份	7*********c	5
143	U Salad轻食	商家说提早叫，好我提早了，预计11:57送达，硬是到12:53才给我打电话，西蓝花给我四颗还是特别特别小的，饭都是凉的，学校一顿饭30多块钱吃这个体验，不应该检讨检讨？	匿**户	1
144	U Salad轻食	必须吐槽一下了……这个海草和玉米笋的量……少的惊人……海草就半筷子不到，22块…………天啦噜，不能仗着好吃这么扣吧，原料成本真不至于这么这么高	匿**户	2
145	U Salad轻食	越来越敷衍了	匿**户	3
146	U Salad轻食	点赞！味道和分量不错配送速度还阔以	尼****呦	5
147	U Salad轻食	味道不错，就是感觉没有以前料足了	3*******7	5
148	U Salad轻食	挺好吃的	2*********c	5
149	U Salad轻食	一如既往滴	斑****6	5
150	U Salad轻食	吼啊	斑****6	5
151	U Salad轻食	好吃	斑****6	5
152	U Salad轻食	真的巨好吃！！每天都想点！！	山***沙	5
153	U Salad轻食	美式鸡胸肉沙拉-大份	7*********c	5
154	U Salad轻食	商家说提早叫，好我提早了，预计11:57送达，硬是到12:53才给我打电话，西蓝花给我四颗还是特别特别小的，饭都是凉的，学校一顿饭30多块钱吃这个体验，不应该检讨检讨？	匿**户	1
155	U Salad轻食	必须吐槽一下了……这个海草和玉米笋的量……少的惊人……海草就半筷子不到，22块…………天啦噜，不能仗着好吃这么扣吧，原料成本真不至于这么这么高	匿**户	2
156	U Salad轻食	越来越敷衍了	匿**户	3
157	U Salad轻食	点赞！味道和分量不错配送速度还阔以	尼****呦	5
158	U Salad轻食	挺好吃的	2*********c	5
159	U Salad轻食	一如既往滴	斑****6	5
160	U Salad轻食	吼啊	斑****6	5
161	U Salad轻食	好吃	斑****6	5
162	U Salad轻食	真的巨好吃！！每天都想点！！	山***沙	5
163	U Salad轻食	美式鸡胸肉沙拉-大份	7*********c	5
164	U Salad轻食	商家说提早叫，好我提早了，预计11:57送达，硬是到12:53才给我打电话，西蓝花给我四颗还是特别特别小的，饭都是凉的，学校一顿饭30多块钱吃这个体验，不应该检讨检讨？	匿**户	1
